data;dia;setup;lado;ent;stop_pts;alvo_pts;res;pnl;pnl_rs;barras
2026-08-06 15:00:00;2026-08-06;T;compra;176412,5;65,1;300,0;stop;-65,10501508643542;-13,021003017287084;1
2026-08-06 15:29:00;2026-08-06;D;venda;176420,0;65,7;300,0;zero;4,447997525858227e-12;8,895995051716455e-13;2
2026-08-07 09:43:00;2026-08-07;D;venda;176172,5;98,0;300,0;zero;-2,9132252166164108e-12;-5,826450433232822e-13;11
2026-08-07 11:10:00;2026-08-07;D;venda;174260,0;80,9;300,0;alvo;190,45365118012728;38,09073023602546;12
2026-08-07 12:21:00;2026-08-07;D;venda;173100,0;79,1;300,0;stop;-79,10815053116085;-15,82163010623217;1
2026-08-07 12:48:00;2026-08-07;D;compra;173070,0;73,2;300,0;stop;-73,16145381969828;-14,632290763939658;1
2026-08-07 15:15:00;2026-08-07;D;compra;172645,0;61,5;300,0;zero;-2,142286348316702e-12;-4,2845726966334044e-13;12
2026-08-07 17:00:00;2026-08-07;D;compra;172640,0;67,5;300,0;stop;-67,53762446235764;-13,50752489247153;2
2026-08-10 11:50:00;2026-08-10;D;compra;172507,5;81,7;300,0;stop;-81,65904521326156;-16,331809042652313;1
2026-08-10 13:31:00;2026-08-10;D;compra;172297,5;72,1;300,0;alvo;186,040019680564;37,2080039361128;10
2026-08-11 10:24:00;2026-08-11;D;venda;171952,5;84,7;300,0;alvo;192,33979739433218;38,46795947886644;5
2026-08-11 10:50:00;2026-08-11;D;compra;171617,5;83,3;300,0;zero;1,1439738045737613e-12;2,287947609147523e-13;3
2026-08-11 11:59:00;2026-08-11;D;venda;170275,0;64,9;300,0;stop;-64,87447221661026;-12,974894443322052;1
2026-08-11 17:00:00;2026-08-11;D;venda;167995,0;76,6;300,0;stop;-76,58961921601109;-15,317923843202218;1
2026-08-12 09:22:00;2026-08-12;D;compra;171415,0;122,5;300,0;zero;1,0800249583553523e-12;2,1600499167107047e-13;8
2026-08-12 10:07:00;2026-08-12;D;compra;171505,0;101,2;300,0;stop;-101,22368450682715;-20,24473690136543;1
2026-08-12 10:45:00;2026-08-12;D;venda;171232,5;129,4;300,0;alvo;214,70833652022236;42,94166730404447;1
2026-08-12 11:08:00;2026-08-12;D;venda;171417,5;113,1;300,0;alvo;206,54482912754418;41,308965825508835;5
2026-08-12 11:28:00;2026-08-12;D;compra;171422,5;103,5;300,0;alvo;201,74749735515812;40,34949947103163;8
2026-08-12 13:49:00;2026-08-12;D;compra;171282,5;83,2;300,0;alvo;191,62101155080202;38,32420231016041;9
2026-08-13 09:28:00;2026-08-13;D;venda;169712,5;89,1;300,0;stop;-89,07803068563706;-17,815606137127414;1
2026-08-13 10:30:00;2026-08-13;D;compra;171035,0;98,0;300,0;alvo;198,9949567037255;39,798991340745104;5
2026-08-13 13:19:00;2026-08-13;T;compra;169850,0;80,4;300,0;stop;-80,40631723380704;-16,081263446761408;1
2026-08-14 10:15:00;2026-08-14;D;compra;169612,5;107,8;300,0;zero;-6,30961949354969e-12;-1,261923898709938e-12;18
2026-08-14 10:46:00;2026-08-14;D;venda;169265,0;108,3;300,0;stop;-108,26022991411244;-21,65204598282249;1
2026-08-14 15:05:00;2026-08-14;D;venda;168232,5;68,4;300,0;stop;-68,35811679816625;-13,671623359633251;1
2026-08-17 09:31:00;2026-08-17;D;venda;169520,0;80,9;300,0;zero;6,0538241086760536e-12;1,2107648217352108e-12;2
2026-08-17 10:00:00;2026-08-17;D;compra;169580,0;85,6;300,0;alvo;192,81896200570787;38,563792401141576;3
2026-08-17 10:02:00;2026-08-17;D;venda;169910,0;94,9;300,0;stop;-94,93405109392313;-18,986810218784626;3
2026-08-17 10:08:00;2026-08-17;D;venda;169995,0;97,5;300,0;stop;-97,54790505536052;-19,509581011072104;1
2026-08-17 10:45:00;2026-08-17;D;venda;169770,0;106,9;300,0;stop;-106,91697296495343;-21,383394592990687;2
2026-08-17 11:12:00;2026-08-17;D;compra;170007,5;101,2;300,0;zero;-1,3642420526593924e-12;-2,728484105318785e-13;5
2026-08-17 11:19:00;2026-08-17;D;venda;170232,5;97,9;300,0;stop;-97,89540533349071;-19,579081066698144;1
2026-08-17 14:57:00;2026-08-17;D;compra;169807,5;70,3;300,0;stop;-70,29679419851499;-14,059358839702998;1
2026-08-17 15:33:00;2026-08-17;D;venda;169870,0;68,8;300,0;stop;-68,76809533611207;-13,753619067222415;2
2026-08-17 16:09:00;2026-08-17;D;compra;169920,0;68,7;300,0;stop;-68,71563335085162;-13,743126670170325;2
2026-08-18 09:32:00;2026-08-18;D;compra;169757,5;93,6;300,0;alvo;196,77743529739575;39,35548705947915;17
2026-08-18 09:54:00;2026-08-18;D;venda;170077,5;77,3;300,0;stop;-77,30389144716774;-15,460778289433549;3
2026-08-18 10:00:00;2026-08-18;D;compra;169982,5;78,0;300,0;zero;-1,9539925233402755e-12;-3,907985046680551e-13;2
2026-08-18 10:14:00;2026-08-18;D;venda;170242,5;81,0;300,0;alvo;190,49852634059332;38,09970526811866;9
2026-08-18 12:16:00;2026-08-18;D;venda;169970,0;87,7;300,0;alvo;193,8677577380205;38,7735515476041;22
2026-08-18 14:56:00;2026-08-18;T;venda;169915,0;71,4;300,0;zero;1,0516032489249483e-12;2,1032064978498967e-13;4
2026-08-18 15:29:00;2026-08-18;D;compra;169957,5;71,3;300,0;stop;-71,26688751470631;-14,253377502941262;1
2026-08-19 10:35:00;2026-08-19;D;venda;172447,5;126,1;300,0;zero;2,2311041902867146e-12;4,4622083805734295e-13;7
2026-08-19 11:12:00;2026-08-19;D;compra;172855,0;114,4;300,0;alvo;207,18177379323748;41,4363547586475;3
2026-08-19 11:55:00;2026-08-19;D;venda;172540,0;108,3;300,0;stop;-108,31608608748672;-21,663217217497348;1
2026-08-19 15:42:00;2026-08-19;D;venda;171060,0;80,6;300,0;alvo;190,29392278237597;38,058784556475196;6
2026-08-20 09:31:00;2026-08-20;D;compra;169520,0;115,3;300,0;zero;-2,3021584638627246e-12;-4,604316927725449e-13;4
2026-08-20 09:41:00;2026-08-20;D;compra;169370,0;94,0;300,0;alvo;197,00479291578705;39,40095858315741;6
2026-08-20 10:01:00;2026-08-20;D;compra;169785,0;91,2;300,0;alvo;195,57778555188588;39,11555711037718;4
2026-08-20 10:08:00;2026-08-20;D;venda;170242,5;92,6;300,0;alvo;196,32327767460265;39,264655534920536;4
2026-08-20 10:17:00;2026-08-20;D;venda;170107,5;95,6;300,0;alvo;197,80827036233313;39,56165407246663;4
2026-08-20 10:34:00;2026-08-20;D;venda;170632,5;104,2;300,0;stop;-104,20349836528608;-20,840699673057216;1
2026-08-20 10:53:00;2026-08-20;D;compra;170760,0;99,7;300,0;alvo;199,83732195489256;39,96746439097851;13
2026-08-20 11:01:00;2026-08-20;D;venda;171210,0;114,3;300,0;alvo;207,16641233619643;41,43328246723929;5
2026-08-20 12:05:00;2026-08-20;D;compra;172367,5;118,6;300,0;stop;-118,6033387795295;-23,7206677559059;2
2026-08-20 13:00:00;2026-08-20;D;venda;171487,5;86,5;300,0;alvo;193,2711475588293;38,65422951176586;5
