dt;barra;lado;close;ok
2026-08-11 14:49:06.638;17909;venda;168100,0;1
2026-08-11 16:46:51.835;17971;venda;167800,0;0
2026-08-12 09:00:46.674;18073;compra;171950,0;0
2026-08-12 09:00:46.696;18083;compra;171950,0;1
2026-08-12 09:00:46.725;18090;compra;172000,0;0
2026-08-12 09:00:47.114;18096;compra;171900,0;0
2026-08-12 09:00:48.613;18111;compra;171750,0;1
2026-08-12 09:00:58.317;18128;compra;172100,0;0
2026-08-12 09:01:00.479;18138;compra;171800,0;0
2026-08-12 09:01:06.434;18144;compra;171800,0;0
2026-08-12 09:02:29.311;18229;compra;171750,0;0
2026-08-12 09:52:27.329;18390;compra;171800,0;0
2026-08-12 10:00:13.090;18398;compra;171700,0;1
2026-08-12 10:34:45.864;18530;compra;171700,0;1
2026-08-13 10:10:57.178;19076;compra;170700,0;1
2026-08-13 10:24:15.176;19104;compra;171100,0;0
2026-08-13 10:29:17.237;19114;compra;171100,0;0
2026-08-13 10:32:55.856;19136;compra;171500,0;0
2026-08-13 10:34:28.304;19141;compra;171350,0;1
2026-08-13 10:37:00.246;19148;compra;171500,0;1
2026-08-13 10:43:01.142;19161;compra;171750,0;0
2026-08-13 10:46:30.634;19166;compra;171600,0;0
2026-08-14 10:34:03.146;19665;venda;168900,0;0
2026-08-14 14:37:34.622;19872;venda;168150,0;1
