lado;j;i;dt;dia;score;cDiv;cAbs;cClx;cFlip;cCmp;cPav;y;bars
-1;423;424;2026-06-30 09:05:19.689;2026-06-30;6,896295505575893;0,0;0,0;0,0;0,0;0,6896295505575893;0,0;0,0;1,0
-1;424;425;2026-06-30 09:05:20.595;2026-06-30;39,21638622404953;0,6;0,20711916911185901;0,35322828515648685;0,0;0,0;0,8441558441558441;0,0;2,0
1;425;426;2026-06-30 09:05:25.328;2026-06-30;24,98327976770279;0,35;0,0;0,2597240442048116;1,0;0,0;0,8441558441558441;0,0;7,0
-1;429;430;2026-06-30 09:05:31.172;2026-06-30;29,165728510226245;0,0;0,18227242003422725;0,4869639336456855;1,0;0,0;1,0;0,0;1,0
1;431;432;2026-06-30 09:05:40.779;2026-06-30;40,40108074462003;0,35;0,3002454493172373;0,47149815038963677;0,0;0,0;1,0;0,0;2,0
-1;432;433;2026-06-30 09:05:44.727;2026-06-30;30,440394461121773;0,35;0,03870151921214473;0,3574285493606052;1,0;0,0;1,0;1,0;5,0
1;435;436;2026-06-30 09:05:45.374;2026-06-30;35,041439685344905;0,0;0,5045701245223106;0,43011256828258715;0,0;0,0;0,9523809523809526;0,0;5,0
-1;437;438;2026-06-30 09:05:48.760;2026-06-30;23,139235993872077;0,35;0,0;0,2188702247390466;0,24731433106667974;0,0;0,7823129251700681;0,0;1,0
1;439;440;2026-06-30 09:05:58.327;2026-06-30;43,14653209052096;0,6;0,24618337043433197;0,3997315943220888;0,3668978847484536;0,0;1,0;0,0;2,0
-1;440;441;2026-06-30 09:06:00.874;2026-06-30;33,707715767218346;0,35;0,23898321388984778;0,3153108632054208;0,9190618117494678;0,0;0,9523809523809526;0,0;3,0
1;443;444;2026-06-30 09:06:15.496;2026-06-30;44,01179995942436;0,6;0,16047199837697432;0,5;0,3133873095931751;0,0;1,0;0,0;3,0
-1;444;445;2026-06-30 09:06:15.496;2026-06-30;40,66516490583326;0,35;0,41663410538121404;0,3833104090434301;0,0;0,0;1,0;1,0;1,0
1;448;449;2026-06-30 09:06:47.835;2026-06-30;29,604301348868024;0,0;0,19025018164990104;0,49493489358735004;0,5630672106752334;0,0;1,0;0,0;3,0
-1;450;451;2026-06-30 09:07:02.437;2026-06-30;3,286985193783699;0,0;0,0;0,013073188379145114;0,6459523947364959;0,2894789542409345;0,0;1,0;3,0
-1;451;452;2026-06-30 09:07:07.462;2026-06-30;17,14537185793986;0,0;0,0;0,2713053559271879;0,3525468385043216;0,0;0,9006211180124223;0,0;5,0
