dt;o;h;l;c;agb;ags;dur;qt;trd;dirn;is_rev;seq_before;wick;wick_net;trav;brk;newday;sujo;ok;dur_eff;agtot;unk_share;avg_trd;hora;dpos;minac;elig_ntsl;sinal;y;bars
2026-07-03 13:30:50.213;176950,0;177000,0;176870,0;177000,0;34173,0;25855,0;3,45;76884,0;19596,0;1;1;4;16,0;6,0;26,0;0;0;0;1;3,45;60028,0;0,21923937360178972;3,9234537660747093;13,5;0,4090909090909091;265,18999999999994;1;1;0,0;1,0
2026-07-03 14:18:34.172;176800,0;176850,0;176740,0;176850,0;15116,0;6675,0;2,53;29752,0;8309,0;1;1;3;12,0;2,0;22,0;0;0;0;1;2,53;21791,0;0,26757865017477817;3,58069563124323;14,3;0,33116883116883117;312,89;1;1;1,0;3,0
2026-07-03 15:08:27.227;176800,0;176850,0;176730,0;176850,0;22744,0;11118,0;2,88;44808,0;12435,0;1;1;5;14,0;4,0;24,0;0;0;0;1;2,88;33862,0;0,24428673451169433;3,6033775633293126;15,133333333333333;0,33116883116883117;362,67999999999995;1;1;0,0;1,0
2026-07-06 10:07:34.133;175150,0;175225,0;175100,0;175100,0;10085,0;13057,0;0,28;31949,0;10455,0;-1;1;6;15,0;5,0;25,0;0;0;0;1;0,28;23142,0;0,2756580800651038;3,0558584409373504;10,116666666666667;0,3463414634146341;65,38999999999999;1;1;0,0;1,0
2026-07-06 10:12:06.992;175200,0;175290,0;175150,0;175150,0;17744,0;22424,0;0,48;51967,0;17199,0;-1;1;5;18,0;8,0;28,0;0;0;0;1;0,48;40168,0;0,2270479342659765;3,0215128786557357;10,2;0,32195121951219513;69,86999999999999;1;1;1,0;3,0
2026-07-06 10:17:14.177;175050,0;175140,0;175000,0;175000,0;20452,0;22990,0;1,08;58343,0;18292,0;-1;1;3;18,0;8,0;28,0;0;0;0;1;1,08;43442,0;0,2554033902953225;3,189536409359283;10,283333333333333;0,3951219512195122;74,86999999999999;1;1;1,0;3,0
2026-07-06 10:30:28.181;174900,0;174990,0;174850,0;174850,0;17264,0;22542,0;0,55;51821,0;15237,0;-1;1;8;18,0;8,0;28,0;0;0;0;1;0,55;39806,0;0,23185581135061076;3,400997571700466;10,5;0,339323467230444;87,78999999999999;1;1;1,0;3,0
2026-07-06 10:33:33.529;174750,0;174815,0;174700,0;174700,0;9755,0;9878,0;0,25;24240,0;6845,0;-1;1;3;13,0;3,0;23,0;0;0;0;1;0,25;19633,0;0,19005775577557757;3,54127100073046;10,55;0,40274841437632136;90,76999999999998;1;1;1,0;3,0
2026-07-06 10:36:57.134;174750,0;174815,0;174700,0;174700,0;3614,0;5757,0;0,13;11736,0;3612,0;-1;1;3;13,0;3,0;23,0;0;0;0;1;0,13;9371,0;0,20151670074982958;3,249169435215947;10,6;0,40274841437632136;94,09999999999998;1;1;0,0;1,0
2026-07-06 10:38:34.142;174850,0;174935,0;174800,0;174800,0;13900,0;14281,0;0,55;35822,0;11207,0;-1;1;3;17,0;7,0;27,0;0;0;0;1;0,55;28181,0;0,21330467310591256;3,1963951101989827;10,633333333333333;0,36046511627906974;95,66999999999997;1;1;1,0;3,0
