close_time,pattern,side,close,R,br0,br1,br2,wick0,openpos0,run_prev,aggdn0,aggdn1,daggdn,diverg0,aggt0,aggt_rel0,aggt_ratio01,agg_per_R,dur0,dur_rel0,dur_rel50,dur_ratio01,intens0,intens_rel,regime_dur,regime_aggt,hour,dow
2026-06-03 09:48:46,P1,1,4458.45,3.27,0.293578,0.862385,0.266055,0.706422,0.706422,2,-0.049949,-0.120944,0.070995,-0.049949,6.889591,1.733216,2.893805,300.0,5.254574,2.200792,1.959461,3.776099,1.816652,0.808483,4.47201,6.340359,9,3
2026-06-03 10:01:27,P1,-1,4460.06,3.27,0.266055,0.75841,0.293578,0.733945,0.266055,2,0.112551,0.024963,0.087587,0.112551,7.119636,2.034596,0.604503,377.675841,5.633718,3.220755,2.867579,0.57797,1.692176,0.697485,4.47201,6.410175,10,3
2026-06-03 10:04:16,P2,-1,4463.75,3.27,0.752294,0.972477,0.908257,0.247706,0.752294,2,0.212598,0.024793,0.187805,0.212598,5.541264,0.448763,1.049587,77.675841,3.753027,0.507586,0.455819,0.922236,1.959875,1.009414,4.419503,6.340359,10,3
2026-06-03 10:13:48,P2,-1,4468.99,3.27,0.746177,0.703364,0.752294,0.253823,0.746177,3,0.015873,-0.124444,0.140317,0.015873,5.937536,0.667845,0.42,115.59633,4.384586,0.977037,0.866822,0.492559,1.753092,0.871247,4.40753,6.340359,10,3
2026-06-03 10:30:24,P2,1,4457.43,3.27,0.975535,0.917431,0.550459,0.024465,0.024465,8,0.243243,-0.194245,0.437488,0.243243,4.317488,0.200542,0.532374,22.629969,2.637413,0.16215,0.149967,0.419221,1.902465,1.269506,4.394832,5.913503,10,3
2026-06-03 10:36:43,P2,-1,4459.9,3.27,0.700306,1.0,0.455657,0.299694,0.700306,3,0.109948,-0.0,0.109948,0.109948,6.352629,1.492188,1.469231,175.229358,4.510772,1.110101,1.041417,1.455263,1.997042,1.417516,4.40753,5.953243,10,3
2026-06-03 10:43:34,P2,1,4458.06,3.27,0.990826,0.862385,0.691131,0.009174,0.009174,3,0.042316,0.006036,0.03628,0.042316,6.109248,1.070322,0.903421,137.308869,4.383625,0.988717,0.964329,0.828123,1.898272,1.225684,4.394832,6.041444,10,3
2026-06-03 10:54:23,P1,-1,4460.74,3.27,0.370031,0.905199,0.333333,0.629969,0.370031,2,-0.045372,-0.015686,-0.029686,-0.045372,6.313548,0.980427,0.360131,168.501529,4.749582,1.14292,1.262181,0.415862,1.759704,1.004404,4.617232,6.33328,10,3
2026-06-03 11:05:17,P1,-1,4455.84,3.27,0.229358,0.792049,0.963303,0.770642,0.229358,2,0.053191,0.058503,-0.005312,0.053191,5.932245,0.669039,0.511565,114.984709,4.543508,0.8604,1.025076,0.686941,1.617831,0.767904,4.692379,6.33328,11,3
2026-06-03 11:51:51,P1,1,4446.02,3.27,0.171254,1.0,0.957187,0.828746,0.828746,6,0.157895,-0.636364,0.794258,0.157895,3.663562,0.072381,3.454545,11.620795,1.399704,0.021403,0.028065,3.779703,2.598436,2.952434,4.967637,6.265301,11,3
2026-06-03 12:11:24,P1,-1,4455.75,3.27,0.33945,0.899083,0.816514,0.66055,0.33945,5,-0.079051,-0.160121,0.081069,-0.079051,6.920672,2.76881,3.057402,309.480122,5.355916,3.406595,2.104088,2.508124,1.757761,0.760558,4.141498,5.903999,12,3
