Data;tipo;dir;preco_virada;bricks_anteriores;bricks_novos;cont_apos_2;len_seq;next_len;price_move_seq;Quantity;Trades
2026-06-24 09:05:03.017;Pivô de Alta → Baixa (venda);-1;174150;2;5;3;5;1;200;5116;680
2026-06-24 09:06:37.525;Pivô de Alta → Baixa (venda);-1;173950;1;12;10;12;3;550;4843;400
2026-06-24 09:08:44.481;Pivô de Baixa → Alta (compra);1;173500;12;3;1;3;2;100;19300;2036
2026-06-24 09:09:10.809;Pivô de Alta → Baixa (venda);-1;173500;3;2;0;2;3;50;7001;990
2026-06-24 09:09:28.792;Pivô de Baixa → Alta (compra);1;173550;2;3;1;3;3;100;7681;927
2026-06-24 09:09:44.324;Pivô de Alta → Baixa (venda);-1;173550;3;3;1;3;1;100;3493;514
2026-06-24 09:10:39.965;Pivô de Alta → Baixa (venda);-1;173450;1;5;3;5;1;200;16972;2013
2026-06-24 09:11:50.373;Pivô de Alta → Baixa (venda);-1;173250;1;3;1;3;2;100;9735;1416
2026-06-24 09:12:05.638;Pivô de Baixa → Alta (compra);1;173250;3;2;0;2;1;50;28494;3493
2026-06-24 09:14:14.637;Pivô de Baixa → Alta (compra);1;173300;1;2;0;2;4;50;10691;1114
2026-06-24 09:14:25.320;Pivô de Alta → Baixa (venda);-1;173250;2;4;2;4;4;150;17899;2408
2026-06-24 09:14:54.077;Pivô de Baixa → Alta (compra);1;173200;4;4;2;4;8;150;30200;3798
2026-06-24 09:16:51.637;Pivô de Alta → Baixa (venda);-1;173250;4;8;6;8;4;350;7885;996
2026-06-24 09:20:31.480;Pivô de Baixa → Alta (compra);1;173000;8;4;2;4;5;150;52108;6146
2026-06-24 09:22:46.511;Pivô de Alta → Baixa (venda);-1;173050;4;5;3;5;5;200;39447;4838
2026-06-24 09:24:10.837;Pivô de Baixa → Alta (compra);1;172950;5;5;3;5;4;200;61042;8543
2026-06-24 09:27:47.750;Pivô de Alta → Baixa (venda);-1;173050;5;4;2;4;3;150;11331;1618
2026-06-24 09:28:13.999;Pivô de Baixa → Alta (compra);1;173000;4;3;1;3;4;100;22842;2719
2026-06-24 09:30:06.728;Pivô de Alta → Baixa (venda);-1;173000;3;4;2;4;5;150;26187;2683
2026-06-24 09:30:38.869;Pivô de Baixa → Alta (compra);1;172950;4;5;3;5;3;200;47093;5775
2026-06-24 09:33:19.124;Pivô de Alta → Baixa (venda);-1;173050;5;3;1;3;1;100;18236;2793
2026-06-24 09:36:56.764;Pivô de Alta → Baixa (venda);-1;172950;1;2;0;2;1;50;48368;5872
2026-06-24 09:43:16.654;Pivô de Baixa → Alta (compra);1;173000;1;3;1;3;4;100;38125;5126
2026-06-24 09:46:06.141;Pivô de Alta → Baixa (venda);-1;173000;3;4;2;4;4;150;12825;1704
2026-06-24 09:48:16.011;Pivô de Baixa → Alta (compra);1;172950;4;4;2;4;3;150;58535;7286
2026-06-24 09:54:18.030;Pivô de Alta → Baixa (venda);-1;173000;4;3;1;3;5;100;91562;10957
2026-06-24 09:58:09.304;Pivô de Baixa → Alta (compra);1;173000;3;5;3;5;18;200;26205;3113
2026-06-24 10:00:24.394;Pivô de Alta → Baixa (venda);-1;173100;5;18;16;18;1;850;23906;2702
2026-06-24 10:01:54.095;Pivô de Baixa → Alta (compra);1;172350;1;11;9;11;2;500;3727;484
2026-06-24 10:02:18.467;Pivô de Alta → Baixa (venda);-1;172750;11;2;0;2;6;50;46666;5987
2026-06-24 10:03:18.114;Pivô de Baixa → Alta (compra);1;172800;2;6;4;6;1;250;33403;3988
2026-06-24 10:05:00.503;Pivô de Baixa → Alta (compra);1;173050;1;3;1;3;1;100;16615;1921
2026-06-24 10:05:55.549;Pivô de Alta → Baixa (venda);-1;173050;1;3;1;3;2;100;8070;932
2026-06-24 10:06:05.841;Pivô de Baixa → Alta (compra);1;173050;3;2;0;2;1;50;25581;2628
2026-06-24 10:06:31.221;Pivô de Baixa → Alta (compra);1;173100;1;2;0;2;1;50;30645;3799
2026-06-24 10:09:00.996;Pivô de Baixa → Alta (compra);1;173150;1;4;2;4;1;150;24615;3068
2026-06-24 10:10:02.055;Pivô de Baixa → Alta (compra);1;173300;1;2;0;2;2;50;17312;2067
2026-06-24 10:10:34.059;Pivô de Alta → Baixa (venda);-1;173250;2;2;0;2;7;50;41727;5090
2026-06-24 10:11:59.038;Pivô de Baixa → Alta (compra);1;173300;2;7;5;7;1;300;17546;2340
2026-06-24 10:13:09.340;Pivô de Baixa → Alta (compra);1;173600;1;3;1;3;5;100;33067;4446
2026-06-24 10:14:08.757;Pivô de Alta → Baixa (venda);-1;173600;3;5;3;5;2;200;29965;3448
2026-06-24 10:15:04.214;Pivô de Baixa → Alta (compra);1;173500;5;2;0;2;5;50;11067;1206
2026-06-24 10:15:22.036;Pivô de Alta → Baixa (venda);-1;173450;2;5;3;5;14;200;43461;5245
2026-06-24 10:16:32.269;Pivô de Baixa → Alta (compra);1;173350;5;14;12;14;6;650;28320;3724
2026-06-24 10:20:43.609;Pivô de Alta → Baixa (venda);-1;173900;14;6;4;6;4;250;66834;7227
2026-06-24 10:21:54.610;Pivô de Baixa → Alta (compra);1;173750;6;4;2;4;1;150;18579;2073
2026-06-24 10:23:39.611;Pivô de Alta → Baixa (venda);-1;173800;1;2;0;2;4;50;25669;2781
2026-06-24 10:24:09.461;Pivô de Baixa → Alta (compra);1;173850;2;4;2;4;1;150;16792;1964
2026-06-24 10:25:18.921;Pivô de Baixa → Alta (compra);1;174000;1;7;5;7;5;300;11583;1215
2026-06-24 10:26:59.675;Pivô de Alta → Baixa (venda);-1;174200;7;5;3;5;6;200;13217;978
2026-06-24 10:28:29.422;Pivô de Baixa → Alta (compra);1;174100;5;6;4;6;6;250;17581;1984
2026-06-24 10:30:07.797;Pivô de Alta → Baixa (venda);-1;174250;6;6;4;6;2;250;29119;2060
2026-06-24 10:30:39.410;Pivô de Baixa → Alta (compra);1;174100;6;2;0;2;9;50;40037;4537
2026-06-24 10:31:00.751;Pivô de Alta → Baixa (venda);-1;174050;2;9;7;9;1;400;12629;1533
2026-06-24 10:31:41.103;Pivô de Alta → Baixa (venda);-1;173650;1;7;5;7;3;300;9292;875
2026-06-24 10:32:18.328;Pivô de Baixa → Alta (compra);1;173450;7;3;1;3;1;100;8982;1023
2026-06-24 10:32:30.056;Pivô de Baixa → Alta (compra);1;173550;1;2;0;2;2;50;54662;5644
2026-06-24 10:33:18.324;Pivô de Alta → Baixa (venda);-1;173500;2;2;0;2;1;50;10946;1246
2026-06-24 10:34:02.048;Pivô de Alta → Baixa (venda);-1;173450;1;3;1;3;1;100;14267;1576
2026-06-24 10:34:37.279;Pivô de Alta → Baixa (venda);-1;173350;1;2;0;2;7;50;28291;3061
2026-06-24 10:35:06.930;Pivô de Baixa → Alta (compra);1;173400;2;7;5;7;2;300;24143;2867
2026-06-24 10:35:38.963;Pivô de Alta → Baixa (venda);-1;173600;7;2;0;2;1;50;41444;5321
2026-06-24 10:36:30.980;Pivô de Alta → Baixa (venda);-1;173550;1;8;6;8;4;350;20134;2523
2026-06-24 10:37:56.786;Pivô de Baixa → Alta (compra);1;173300;8;4;2;4;1;150;5692;787
2026-06-24 10:38:59.061;Pivô de Baixa → Alta (compra);1;173450;1;4;2;4;5;150;5326;872
2026-06-24 10:39:40.766;Pivô de Alta → Baixa (venda);-1;173500;4;5;3;5;2;200;19661;2651
2026-06-24 10:40:43.414;Pivô de Baixa → Alta (compra);1;173400;5;2;0;2;1;50;21265;2806
2026-06-24 10:42:02.473;Pivô de Baixa → Alta (compra);1;173450;1;3;1;3;2;100;12414;1257
