index;date;pivot;entry;body;range;upper_wick;lower_wick;upper_wick_ratio;lower_wick_ratio;quantity;trades;duration;run_length;prev_quantity;prev_trades;prev_duration;future_move;adverse_move;net_move;quantity_percentile;trades_percentile;wick_imbalance;quantity_q;trades_q;wick_q
520;2026-06-23 10:47:27.880;HIGH;172300;50;150;100;0;0,6666666666666666;0,0;19098;1447;0,08;2;4506;322;0,01;70;280;-210;0,6022145493511132;0,5526848434337421;-100;2;2;0
522;2026-06-23 10:48:01.581;LOW;172350;50;120;0;70;0,0;0,5833333333333334;13738;1532;0,21;2;28005;3256;0,47;230;0;230;0,5455411358495059;0,5632813430170258;70;2;2;2
527;2026-06-23 10:48:57.784;HIGH;172450;50;130;80;0;0,6153846153846154;0,0;20041;1988;0,18;5;38400;4723;0,46;70;250;-180;0,6119776163829027;0,6167400881057269;-80;2;2;0
531;2026-06-23 10:49:56.081;LOW;172500;50;120;0;70;0,0;0,5833333333333334;13929;1865;0,26;2;8085;821;0,11;300;115;185;0,5469698773663532;0,6032861054887486;70;2;2;2
538;2026-06-23 10:53:32.544;HIGH;172600;50;120;70;0;0,5833333333333334;0,0;49672;5382;0,99;5;26033;3619;0,49;10;280;-270;0,8504583879033218;0,8762947969996429;-70;3;3;1
543;2026-06-23 10:54:53.587;HIGH;172750;50;115;65;0;0,5652173913043478;0,0;23482;2213;0,14;4;17094;1369;0,05;80;160;-80;0,646743659959519;0,6395999523752828;-65;2;2;1
545;2026-06-23 10:55:17.071;LOW;172800;50;130;0;80;0,0;0,6153846153846154;30349;3225;0,55;2;24233;2100;0,24;160;105;55;0,7192522919395166;0,7390165495892368;80;2;2;3
547;2026-06-23 10:55:53.771;HIGH;172750;50;130;80;0;0,6153846153846154;0,0;32015;3993;0,64;2;5623;536;0,05;55;210;-155;0,732349089177283;0,7975949517799739;-80;2;3;0
549;2026-06-23 10:56:34.645;LOW;172800;50;105;0;55;0,0;0,5238095238095238;9062;1134;0,17;2;6100;571;0,03;200;60;140;0,49922609834504106;0,5158352184783903;55;1;2;2
552;2026-06-23 10:57:46.637;HIGH;172800;50;110;60;0;0,5454545454545454;0,0;12143;1356;0,21;3;18741;2167;0,34;35;350;-315;0,528396237647339;0,5425050601262055;-60;2;2;1
555;2026-06-23 10:59:04.051;HIGH;172850;50;110;60;0;0,5454545454545454;0,0;23442;2990;0,42;2;6104;503;0,02;60;370;-310;0,646148350994166;0,7180616740088106;-60;2;2;1
557;2026-06-23 11:00:51.206;LOW;172900;50;110;0;60;0,0;0,5454545454545454;7179;725;0,1;2;53147;6000;1,35;400;0;400;0,48231932372901537;0,4736278128348613;60;1;1;2
564;2026-06-23 11:01:14.156;HIGH;173100;50;120;70;0;0,5833333333333334;0,0;48855;5451;0,63;7;14135;1432;0,07;45;305;-260;0,8468865341112037;0,8781997856887724;-70;3;3;1
570;2026-06-23 11:04:07.364;HIGH;173300;50;105;55;0;0,5238095238095238;0,0;12710;1392;0,07;5;5460;175;0,0;135;130;5;0,5335158947493749;0,5472675318490297;-55;2;2;1
573;2026-06-23 11:05:32.235;LOW;173300;50;110;0;60;0,0;0,5454545454545454;26223;4073;0,47;3;26642;3136;0,39;130;250;-120;0,6767472318133111;0,8043814739849983;60;2;3;2
576;2026-06-23 11:07:41.833;HIGH;173300;50;130;80;0;0,6153846153846154;0,0;29276;3035;0,34;3;28385;3154;0,61;300;30;270;0,708893915942374;0,7214549351113227;-80;2;2;0
579;2026-06-23 11:09:04.262;LOW;173300;50;135;0;85;0,0;0,6296296296296297;49471;5639;1,09;3;34388;3995;0,92;30;325;-295;0,8497440171448982;0,8837956899630909;85;3;3;3
584;2026-06-23 11:12:11.468;LOW;173150;50;135;0;85;0,0;0,6296296296296297;70209;7964;1,38;4;16967;1891;0,17;255;175;80;0,9211810929872604;0,9416597213954042;85;3;3;3
587;2026-06-23 11:15:03.481;LOW;173100;50;125;0;75;0,0;0,6;24713;2481;0,33;2;14120;1344;0,27;400;25;375;0,6601976425764972;0,6687700916775806;75;2;2;2
594;2026-06-23 11:16:27.310;HIGH;173300;50;105;55;0;0,5238095238095238;0,0;43958;4781;0,73;7;15003;1569;0,12;5;370;-365;0,8200976306703179;0,8490296463864746;-55;3;3;1
601;2026-06-23 11:20:38.347;HIGH;173550;50;120;70;0;0,5833333333333334;0,0;57637;6988;1,24;6;8924;737;0,02;100;205;-105;0,8837956899630909;0,9226098345041076;-70;3;3;1
603;2026-06-23 11:21:56.561;LOW;173600;50;105;0;55;0,0;0,5238095238095238;36769;4420;1,16;2;8765;822;0,05;155;220;-65;0,7684248124776759;0,8264079057030599;55;3;3;2
