regra,n_tr,n_te,lok_tr,lok_te,ic_te,lcont_tr,lcont_te,ok_te,R_te
contra<-.6 & tend5forte,612,365,-0.03757467903318764,-0.023770850790938686,0.04971069747690098,-0.027426296906893497,0.019676805676412227,0.3780821917808219,
contra<-.6 & viradas5<=1,588,363,-0.02982333234192918,0.02334427610217048,0.0505640046652721,-0.03428359199521653,0.018099904004904535,0.42699724517906334,
contra<-.6 & manha,865,495,-0.028615299699579252,-0.010111579875958291,0.04297645455614635,-0.03300655157121168,0.00987073865230879,0.39595959595959596,
contra<-.6 & cdelta_fav,881,531,-0.0265985619439889,-0.028783338247111177,0.04097812988904926,-0.014341890350989426,0.0021239020841802006,0.3747645951035782,
contra<-.6 & cdelta_ctr,204,115,-0.025878952987376344,0.044328459790418905,0.09169767863558616,-0.054637090326733216,0.06971529364673792,0.45217391304347826,
contra3>0 & pavio>=115,2149,1309,-0.0014586500675765662,0.00245176061797098,0.025765123934445903,-0.003422580581016761,-0.007546796165869601,0.6424751718869366,
contra3>0 & seq=1,2474,1506,-0.0038801006914029926,0.0005743381993331245,0.02424082299686179,-0.003055198453708289,-0.006147965313801704,0.6254980079681275,
contra3>0 & rqtd>1.5,1304,822,0.004134301368674049,-0.015888238863958785,0.03280421093373141,-0.011815206612450021,-0.005335275558487546,0.6228710462287105,
contra3>0 & rqtd<0.6,551,304,0.005076721700388249,0.05656204902514116,0.05348127579384818,0.004162711817373078,0.021303754848016797,0.6151315789473685,
contra3>0 & rdur>1.5,1441,856,-0.00444612812459829,-0.025136686718693943,0.032536195196656195,-0.0149573652027669,-0.01841939143791401,0.6016355140186916,
contra3>0 & rdur<0.6,833,534,0.002556887582533634,0.03978024838869627,0.04049414132703836,0.0020028464106683244,0.02798114217751726,0.6198501872659176,
contra3>0 & rtam<0.8,223,143,0.029018022590089995,0.023199581346274364,0.07853040779564464,0.054087128079368135,-0.01892376971916234,0.6363636363636364,
contra3>0 & part>.85,262,206,-0.003302320739023928,-0.0024187695341277775,0.06605496187424222,0.012058833958402317,-0.044422628875008904,0.6067961165048543,
contra3>0 & part<.70,1064,551,0.009368722549915373,0.012763524078694431,0.04063583126311092,-0.009040802147295855,0.0076581058925553735,0.6061705989110708,
contra3>0 & vel_alta,390,246,0.00416511327832417,0.013231041450534883,0.061025060746027586,0.018400788950627595,-0.00271256086552546,0.5894308943089431,
contra3>0 & vel_baixa,1013,619,0.013764515761797193,-0.016764939145622194,0.038044923738540855,-0.010211688265925053,-0.009998385563920537,0.6090468497576736,
contra3>0 & acel>2,1571,977,0.005150689896333749,0.006230360243584643,0.03003375158038733,-0.0054052719674914495,-0.00032499717684500223,0.6335721596724667,
contra3>0 & acel<0.5,443,273,0.015706611102047525,0.04570793132879347,0.056686362774824556,0.0022264173455958125,0.018100098596639348,0.5934065934065934,
contra3>0 & relqtd>2,1375,853,0.005481662975236783,0.004806449836778267,0.031996147209845276,0.006871829875814675,-0.003556426993808947,0.6412661195779601,
