regra,n,por_dia,p,p_acaso,lift,pts,pts_acaso,n_tr,p_tr,n_te,p_te,pts_te,lift_tr,lift_te
perna>=4 & pernapav>=90,781,22.314285714285713,0.3866837387964149,0.3816653934300993,0.005018345366315569,8.002560819462229,7.249809014514897,487,0.38809034907597534,294,0.3843537414965986,7.653061224489796,0.006424955645876029,0.002688348066499313
perna>=4 & pav<=110,407,11.628571428571428,0.40786240786240785,0.3944593756460616,0.013403032216346256,11.17936117936118,9.16890634690924,255,0.4117647058823529,152,0.40131578947368424,10.197368421052632,0.017305330236291327,0.006856413827622643
perna>=4 & pav>=130,782,22.34285714285714,0.36445012787723785,0.3833488248572567,-0.018898696980018836,4.667519181585678,7.502323728588501,482,0.36099585062240663,300,0.37,5.5,-0.022352974234850054,-0.013348824857256691
perna>=4 & pav1<=70,958,27.37142857142857,0.3705636743215031,0.3892347861016268,-0.018671111780123706,5.5845511482254695,8.385217915244025,587,0.37137989778534924,371,0.3692722371967655,5.390835579514825,-0.017854888316277573,-0.01996254890486132
perna>=4 & pav1>=110,365,10.428571428571429,0.40821917808219177,0.37846249610955496,0.02975668197263681,11.232876712328768,6.76937441643324,218,0.39908256880733944,147,0.4217687074829932,13.26530612244898,0.020620072697784486,0.043306211373438264
perna>=4 & pav2<=70,929,26.542857142857144,0.35844994617868675,0.38419618528610355,-0.025746239107416802,3.767491926803014,7.629427792915531,551,0.33212341197822143,378,0.3968253968253968,9.523809523809524,-0.052072773307882125,0.01262921153929325
perna>=4 & pav2>=110,352,10.057142857142857,0.4005681818181818,0.38972904851921863,0.010839133298963188,10.085227272727273,8.459357277882798,223,0.4080717488789238,129,0.3875968992248062,8.13953488372093,0.018342700359705144,-0.002132149294412411
perna>=4 & efic20>=0.5,741,21.17142857142857,0.3832658569500675,0.38027799632835035,0.002987860621717131,7.489878542510121,7.041699449252557,441,0.38095238095238093,300,0.38666666666666666,8.0,0.0006743846240305773,0.006388670338316305
perna>=4 & efic20<=0.25,470,13.428571428571429,0.32553191489361705,0.38144329896907214,-0.055911384075455095,-1.1702127659574468,7.216494845360825,283,0.31448763250883394,187,0.3422459893048128,1.3368983957219251,-0.0669556664602382,-0.03919730966425933
perna>=4 & efic50>=0.5,837,23.914285714285715,0.35722819593787336,0.38501742160278746,-0.027789225664914097,3.5842293906810037,7.7526132404181185,492,0.35772357723577236,345,0.3565217391304348,3.4782608695652173,-0.027293844367015097,-0.02849568247235268
perna>=4 & efic50<=0.25,444,12.685714285714285,0.3536036036036036,0.37269906928645297,-0.019095465682849366,3.0405405405405403,5.904860392967942,299,0.35451505016722407,145,0.35172413793103446,2.7586206896551726,-0.0181840191192289,-0.020974931355418502
perna>=4 & vira20<=5,720,20.571428571428573,0.3763888888888889,0.3899618972539745,-0.013573008365085626,6.458333333333333,8.494284588096177,434,0.3870967741935484,286,0.36013986013986016,4.020979020979021,-0.0028651230604261335,-0.029822037114114353
perna>=4 & vira50<=14,658,18.8,0.3860182370820669,0.3840142582944886,0.0020039787875782977,7.90273556231003,7.602138744173293,402,0.40298507462686567,256,0.359375,3.90625,0.018970816332377072,-0.024639258294488597
perna>=4 & amp20>=500,1020,29.142857142857142,0.38235294117647056,0.3874716553287982,-0.005118714152327619,7.352941176470588,8.120748299319727,625,0.3808,395,0.3848101265822785,7.7215189873417724,-0.006671655328798154,-0.0026615287465197035
perna>=4 & dext20<=0.5,1293,36.94285714285714,0.35730858468677495,0.3795473854947092,-0.022238800807934223,3.5962877030162415,6.93210782420638,796,0.3555276381909548,497,0.36016096579476864,4.0241448692152915,-0.02401974730375439,-0.019386419699940538
perna>=4 & dext20>=2,350,10.0,0.4057142857142857,0.40027739251040223,0.005436893203883464,10.857142857142858,10.041608876560334,214,0.40654205607476634,136,0.40441176470588236,10.661764705882353,0.006264663564364115,0.004134372195480129
perna>=4 & dext50<=0.5,867,24.771428571428572,0.35870818915801617,0.37848086266145275,-0.01977267350343659,3.8062283737024223,6.772129399217917,535,0.3532710280373832,332,0.3674698795180723,5.120481927710843,-0.02520983462406956,-0.011010983143380448
perna>=4 & dext50>=3,690,19.714285714285715,0.3927536231884058,0.3919449901768173,0.000808633011588511,8.91304347826087,8.791748526522593,419,0.3914081145584726,271,0.3948339483394834,9.22509225092251,-0.000536875618344701,0.0028889581626661
perna>=4 & furo>=0,1215,34.714285714285715,0.35555555555555557,0.381453469253535,-0.025897913697979447,3.3333333333333335,7.218020388030253,747,0.35609103078982596,468,0.3547008547008547,3.2051282051282053,-0.02536243846370906,-0.0267526145526803
perna>=4 & furo<=-1,472,13.485714285714286,0.4025423728813559,0.3932654333818333,0.00927693949952263,10.38135593220339,8.989815007274995,291,0.39862542955326463,181,0.4088397790055249,11.32596685082873,0.005359996171431347,0.015574345623691588
