price,score,n_events,unique_days,unique_weeks,unique_months,span_days,first_event,last_event,mean_strength,median_strength,max_strength,mean_reaction,n_scales,n_sources,mean_rel_volume,decayed_touches,c__scale_weight,c__n_pairs,c_touch,c_reaction,c_temporal,c_scale,c_volume,c_recency,c_confluence
109760.0000,89.6000,46,37,25,14,587.9715,2021-10-21 09:41:00,2023-06-01 09:00:00,2.4940,2.4047,4.0000,2390.7609,4,1,2.2766,7.0472,4.3000,4.0000,0.9642,0.5546,0.9270,0.7082,0.4027,0.5577,0.7218
109515.0000,88.0000,46,34,25,15,617.1444,2021-09-21 11:11:00,2023-05-31 14:39:00,2.4301,2.4908,3.7511,2317.7174,4,1,2.3891,7.0340,4.3000,4.0000,0.9642,0.4484,0.9430,0.7082,0.4983,0.5543,0.7218
109270.0000,95.2000,53,41,28,17,616.0653,2021-09-21 10:41:00,2023-05-30 12:15:00,2.5403,2.5281,3.8698,2600.4717,5,1,1.7929,8.0883,6.8000,5.0000,0.9795,0.5546,0.9641,0.9812,0.0341,0.5819,0.9812
108780.0000,86.6000,64,45,27,15,619.0500,2021-09-20 09:08:00,2023-06-01 10:20:00,2.4421,2.2286,4.0000,2524.0625,4,1,2.0001,9.7987,4.3000,4.0000,1.0000,0.4164,0.9628,0.7082,0.1433,0.6256,0.7218
108045.0000,83.7000,37,33,19,13,596.8486,2021-09-20 15:16:00,2023-05-10 11:38:00,2.4462,2.3685,4.0000,2544.1892,4,1,2.0849,5.6290,4.3000,4.0000,0.9044,0.5085,0.9108,0.7082,0.2014,0.4273,0.7218
107555.0000,81.0000,35,29,19,13,566.0368,2021-10-22 09:10:00,2023-05-11 10:03:00,2.4291,2.2452,4.0000,2419.7143,4,1,2.1877,5.3350,4.3000,4.0000,0.8840,0.4138,0.8789,0.7082,0.3140,0.4116,0.7218
107065.0000,84.1000,42,33,22,13,563.0819,2021-10-22 10:11:00,2023-05-08 12:09:00,2.3812,2.3551,4.0000,2294.4048,4,1,2.1662,6.3988,4.3000,4.0000,0.9454,0.4369,0.8999,0.7082,0.3003,0.4915,0.7218
106575.0000,88.3000,39,27,21,13,563.8417,2021-10-22 13:42:00,2023-05-09 09:54:00,2.5399,2.5363,4.0000,2257.1795,4,1,2.2833,5.9326,4.3000,4.0000,0.9266,0.6365,0.8591,0.7082,0.4096,0.4662,0.7218
105840.0000,77.0000,40,31,18,11,545.9007,2021-10-29 15:52:00,2023-04-28 13:29:00,2.3199,2.2689,3.5947,1906.0000,4,1,2.0002,6.0740,4.3000,4.0000,0.9334,0.2483,0.8625,0.7082,0.1468,0.4655,0.7218
105105.0000,83.1000,34,26,16,10,541.9271,2021-10-29 10:58:00,2023-04-24 09:13:00,2.5543,2.4459,4.0000,2703.2353,4,1,2.2182,5.1747,4.3000,4.0000,0.8703,0.5981,0.7863,0.7082,0.3413,0.3754,0.7218
