feature,lag,mean_pos,mean_neg,cohens_d,auc,abs_auc_gap
AggBalanceAcceleration,0,-0.8746876164899732,-0.4486467352071875,-0.0034577050773728617,0.4974363365133518,0.0025636634866482155
DirVsAggDivergence,1,0.00020570239283868356,7.033185860310055e-05,0.005097427159006617,0.4974950631228725,0.002504936877127495
QuantityResidual20,2,-2506.091757049892,-4409.329067410035,0.07528224191270039,0.4976040428650117,0.0023959571349883024
ConsecutiveUpCount,1,2.6500541711809316,2.5516717325227964,0.0283865957149386,0.4977178949309606,0.0022821050690394196
ConsecutiveUpCount,2,2.1538461538461537,2.0415400202634246,0.03604825765635653,0.4977178949309606,0.0022821050690394196
AggImbalance,1,0.00041344597999811377,0.004065104072367365,-0.007353486094671025,0.497780189044798,0.0022198109552020173
BodyNormMean5,1,0.651813791794298,0.6500824863952989,0.016524707805116293,0.502209931712479,0.002209931712478963
LogDuration,0,5.854238194131786,5.752004841265827,0.04420301141686663,0.5020098770473358,0.002009877047335795
AggImbalanceChange,0,-0.007659901145875302,-0.015024963942189095,0.011914151209795729,0.5019999978046127,0.0019999978046126854
TradesPerQuantity,1,0.3215717269664009,0.326861532921345,-0.06210189478039661,0.4980277189596938,0.001972281040306223
DurationRatio20,2,0.8638208653042337,0.8360062383947867,0.021356965204871042,0.49802925173134494,0.001970748268655065
AggBalanceNormMean3Change,0,-0.022053506319609274,-0.08477536583636025,0.0019227717771750277,0.5018325995251377,0.0018325995251377014
TradesRatio20,2,0.9216338993207094,0.8907073096447664,0.03726021638642036,0.5018039080735263,0.0018039080735262614
QuantityPerTrade,1,3.2331584383427243,3.2085933052271267,0.017198050290566102,0.49837074822091304,0.0016292517790869598
BodyNormMean3,0,0.6079241238831163,0.6085125026485617,-0.005594876653397589,0.4984357865688402,0.001564213431159811
AggBalanceNormMean3,2,-0.20373177677444923,-1.2324923482085945,0.01973110756312762,0.5015609203502521,0.0015609203502521263
AggImbalanceChange,1,0.0006810767272766605,-0.0032504793046928314,0.010452368521229431,0.5015312826220828,0.0015312826220827969
AggImbalanceChange,2,0.0031508391446721526,0.004985585798371761,-0.004573623689657714,0.5014805142914223,0.0014805142914222635
AggBuyNorm,0,112.3657582066911,112.49224791177039,-0.001272169259719438,0.498538146500388,0.0014618534996119759
AggBalanceNorm,1,-0.3828464745843508,-0.5442123268721665,0.002326896892466234,0.5013935220707771,0.0013935220707771423
QuantityPerTradeRatio20,2,0.9887832913683376,0.9936686840643455,-0.015776292352111934,0.501243742805532,0.0012437428055319666
AggBalanceNorm,0,0.07623737089551383,-0.41514632461384426,0.011575065812228953,0.5011654762179185,0.0011654762179185152
AggBalanceRunSum,0,0.07623737089551383,-0.41514632461384426,0.011575065812228953,0.5011654762179185,0.0011654762179185152
QuantityRatio20,2,0.9111189204812413,0.8809370347384807,0.03598492117375803,0.5010997160143499,0.001099716014349883
AggBalanceNormMean5,1,-0.7244286643873904,-0.8853010206358686,0.0034609527872249647,0.4989676191354345,0.0010323808645654742
AggBalanceRunSum,2,-7.248640105699062,-9.393836943608658,0.00794823424903394,0.5009020297453022,0.0009020297453021797
Range,1,78.48862405200434,78.4903748733536,-6.155543042208886e-05,0.49920033018624566,0.0007996698137543445
BodyNorm,1,0.7138226975541536,0.7133029363094456,0.0023589724742836657,0.5007996698137543,0.0007996698137543445
WickTotalNorm,1,0.2861773024458464,0.28669706369055437,-0.0023589724742836657,0.49920033018624566,0.0007996698137543445
AggBalanceRunSum,1,-7.631486580283409,-9.938049270480828,0.007180352299198731,0.5007777159410363,0.0007777159410362611
SellShare,1,0.49437615891682657,0.49543451989897336,-0.004204756562219296,0.49922859579737017,0.0007714042026298329
RangeMean5,1,87.81581798483207,87.90172239108409,-0.0060462623894368805,0.4992620754532651,0.0007379245467348805
AggTotalResidual20,2,-1613.9969088937096,-3037.8524581855045,0.07902527028365339,0.49931257441842314,0.0006874255815768615
RangeRatio20,1,0.8530963154596651,0.8510581653708974,0.006772393447301818,0.4995789140379945,0.0004210859620055185
TradesNorm,0,89.9231615300887,89.1754234832728,0.010716063851165714,0.4996193747317511,0.00038062526824889087
AggBalanceChange,0,0.4590838454798654,0.12906600225832246,0.0031265071176251736,0.500290065543287,0.0002900655432870325
SignedRunLength,2,-0.010834236186348862,-0.0547112462006079,0.008416026666530312,0.5002623487789805,0.00026234877898045905
SignedRunLength,1,-0.018418201516793065,-0.034447821681864235,0.0026503731995176968,0.5002623487789805,0.00026234877898045905
DirVsAggDivergence,2,-0.00032187752107173815,9.630715473532865e-05,-0.026341262906309924,0.5002274970060406,0.0002274970060406334
DurationRatio20,1,0.8000872529720647,0.7971569854703893,0.0023006964926521275,0.4997762637251485,0.00022373627485150482
AggBalanceNormMean3,1,-0.6523555070947895,-0.608985872771592,-0.0007069964020167775,0.5001182764892684,0.00011827648926843182
BodyNormMean3,1,0.6781603217548684,0.6766160447806866,0.011833876947687883,0.5001169043722236,0.00011690437222355854
AggBalanceNormMean3,0,-0.674409013414398,-0.6937612386079521,0.0005842617238305574,0.5000312842686232,3.128426862319955e-05
RunLength,0,1.0,1.0,,0.5,0.0
CloseChange3Bricks,0,0.0,0.0,,0.5,0.0
