rule,n,n_per_day,precision,wilson_lo,wilson_hi,base_rate,edge,lift,beats_base_at_95,expectancy_R,expectancy_R_base,expectancy_R_delta,coverage
QuantityPerTrade_gt_prev,2122,73.17,0.5749293119698398,0.5537785181825016,0.5958092968268576,0.5758096875895672,-0.0008803756197274248,0.9984710649391593,False,0.0353655438375802,0.03717582191793065,-0.001810278080350454,0.6081971911722557
TradesRatio20_chg1 > mediana,1743,60.1,0.5748709122203098,0.551522393429209,0.597890123424065,0.5758096875895672,-0.0009387753692573497,0.9983696429749433,False,0.014437934129981402,0.03717582191793065,-0.022737887787949253,0.4995700773860705
QuantityNorm_ratio1 < mediana,1698,58.55,0.574793875147232,0.5511360946756924,0.5981139882932512,0.5758096875895672,-0.0010158124423351733,0.9982358538520122,False,0.05030818642767086,0.03717582191793065,0.013132364509740209,0.4866723989681857
QuantityNorm_gt_prev,2032,70.07,0.5743110236220472,0.5526918466969025,0.5956497531603752,0.5758096875895672,-0.0014986639675199642,0.9973972928906535,False,0.021422015130033174,0.03717582191793065,-0.01575380678789748,0.5824018343364861
AggTotalNorm_ratio1 < mediana,1697,58.52,0.5733647613435474,0.5496930531861942,0.59670505937173,0.5758096875895672,-0.002444926246019774,0.9957539334632339,False,0.04848780240383202,0.03717582191793065,0.011311980485901367,0.48638578389223275
QuantityPerTradeRatio20_gt_prev,2102,72.48,0.5727878211227403,0.5515264481816909,0.593783626422211,0.5758096875895672,-0.0030218664668268946,0.9947519700832459,False,0.031320233131744125,0.03717582191793065,-0.0058555887861865275,0.6024648896531958
AggTotalPerTrade_gt_prev,1547,53.34,0.572721396250808,0.5479199422072234,0.5971625729896863,0.5758096875895672,-0.003088291338759208,0.9946366110099896,False,0.02919024401285856,0.03717582191793065,-0.007985577905072094,0.4433935224992835
TradesRatio20_gt_prev,2576,88.83,0.5725931677018633,0.5533948771787537,0.5915752636236893,0.5758096875895672,-0.0032165198877038836,0.9944139184229971,False,0.023210220069185772,0.03717582191793065,-0.013965601848744881,0.7383204356549155
AggTotalNorm_gt_prev,1955,67.41,0.5718670076726343,0.5498130435514081,0.5936390865238365,0.5758096875895672,-0.0039426799169328675,0.9931528072522754,False,0.015684228812677375,0.03717582191793065,-0.021491593105253278,0.5603324734881054
QuantityRatio20_gt_prev,2584,89.1,0.5715944272445821,0.5524218862185207,0.5905544072300428,0.5758096875895672,-0.0042152603449850945,0.9926794209339707,False,0.021326839280188456,0.03717582191793065,-0.015848982637742197,0.7406133562625394
