target,feature_set,n_features,n_lags,depth,learning_rate,l2_leaf_reg,oof_auc,oof_pr_auc,base_rate,auc_fold_mean,auc_fold_std,auc_fold_min,folds_above_05,n_folds,stability_score
p2c2,EXTENDED,97,5,6,0.02,10.0,0.5209506929807753,0.4699447354102269,0.45373665480427045,0.5053560149146815,0.04989601516382886,0.4133472186062657,5,6,0.48040800733276706
p2c2,EXTENDED,97,5,3,0.02,3.0,0.5000199591237147,0.46760861783024343,0.45373665480427045,0.4956721007306543,0.03144944928753812,0.45134368943272873,4,6,0.47994737608688526
p2c2,STRUCT+VOL,28,5,5,0.1,3.0,0.5084415117838667,0.46951295385203623,0.45373665480427045,0.5016420935123821,0.04436127433611382,0.44403945731724953,3,6,0.4794614563443252
p2c2,STRUCT+VOL,28,5,5,0.05,10.0,0.5130313118732835,0.46644073322498975,0.45373665480427045,0.5143218008913367,0.07069161859516296,0.4091816367265469,3,6,0.47897599159375526
p2c2,STRUCT+VOL,28,5,6,0.02,3.0,0.4989429648080731,0.4518307554311545,0.45373665480427045,0.49889161063873,0.04622528694662045,0.43064595446787585,3,6,0.4757789671654198
p2c2,EXTENDED,97,5,3,0.05,3.0,0.49758893785527236,0.45448185286639636,0.45373665480427045,0.4943932673962083,0.03776625529289107,0.43805143336515373,4,6,0.47551013974976275
p2c2,EXTENDED,97,5,5,0.05,3.0,0.4893793510889698,0.4479584916299747,0.45373665480427045,0.48867376110700983,0.0280885287189273,0.4545691226243166,3,6,0.4746294967475462
p2c2,STRUCT+VOL,28,5,5,0.1,10.0,0.4956165772497924,0.4608148497055869,0.45373665480427045,0.495195576097568,0.04459239744105361,0.4171945963146171,3,6,0.4728993773770412
p2c2,EXTENDED,97,5,5,0.02,3.0,0.4952309669796257,0.45421330110062597,0.45373665480427045,0.4914614521693263,0.0398732156164098,0.43553472764615697,3,6,0.4715248443611214
p2c2,EXTENDED,97,5,5,0.1,3.0,0.49031703072108324,0.4520130797946331,0.45373665480427045,0.48530383859373133,0.030278179436367954,0.43160446861521146,2,6,0.4701647488755474
p2c2,EXTENDED,97,5,3,0.05,10.0,0.48840095484447854,0.4515081382409082,0.45373665480427045,0.48373805265414943,0.03861703209954543,0.4313767514131861,3,6,0.4644295366043767
